0x53EAB471, ee_timer
0x2DC19561, __init__sytem__
0x8C87D8EB, __init__
0xC35E6AAB, init
0xFB4F96B5, on_player_connect
0x3481ED75, detour_8e0e945a-8360-437e-836a-176ad8a753e5
0xF23E8C1A, zm_cosmodrome_eggs
0xC1215448, switch_watcher
0x845122E8, detour_b57669c7-49a8-4589-8327-57448dffabeb
0x467428D0, reward_wait
0x4B05F435, detour_e014866c-9a5d-439c-9e17-b81eb63ccacf
0x172345EA, letter_grab
0x8362BA6E, detour_7f880371-5511-4497-8271-aed0a0d0b9be
0x61F25AA1, wait_for_combo
0x61AE9227, speedmeter_hud
0x5237CCAE, timer_hud
0x38A17365, game_time
0xCA98B515, calculate_time
0x849012E2, calculate_split
0x6EF3E2C4, init_hudelem
0xFE0E2319, precache_strings
0x5CB067, precache_general
0xC3299B0C, precache_base_perks
0xB9507D1C, precache_pap
0xB24346E3, register_this_string
0xC920131B, fastexit
0x9C81160F, fast_restart
0x21D217DB, free_megas
0xF99736A7, return_false
0x2E24FEB7, delete_bgb_uses
0xE4ACFBA6, improve_render
0x34E75277, castle_splits
0xCADC427F, dragons_fed
0x60AB15A8, upgraded_bow
0xE189A803, code_set
0xE59F091E, keeper_start
0x6F831A91, boss_fight_ready
0x87033D1D, ee_completed
0xBED58DFD, check_bow_upgraded
0xDA6568A6, plunger
0x3E4CF410, inf_timer
0x322CE873, cosmodrome_splits
0x142E5A7F, generator_tp
0x47EEF8D3, power_monitor
0xDA450B15, switches
0x24C1BF6A, clock_step
0x61A42A23, landers_passkey
0x83F7BE80, guns_combination
0xE22A8AA8, power_on
0x666702C5, ee_end
0x50B78274, giant_splits
0x7B386E04, open_door
0xB7D2A5AF, button_hit
0x19FBD443, hide_timer
0x28D9048A, pick_annihilator
0x5A4692CB, is_giant_ee_done
0x9F924183, genesis_timer
0x789A9027, keeper__start
0xCF494E8B, margwa_start
0xF3A1981, teleport1
0xE5F4F1DF, eggs
0x8A9BAB4C, book_rng
0x353C93EA, teleport2
0x89209206, shadowman_
0xBDCF8AC, zod_splits
